[0.008819851927374693, 0.20750938330297586]
[0.003692020318898707, 0.2114196738680509]
[0.0007993304736546652, 0.2151117840378354]
[0.0045421478921802, 0.2129174369330057]
[0.010494194043239723, 0.21080234407033097]
[0.01753964054591236, 0.19712635447505575]
[0.0068334569910819595, 0.20342939991389636]
[0.015118345013367614, 0.20727875111320293]
[0.008992596399379917, 0.20796910491413576]
[0.0073613334902158266, 0.20679794919804148]
[-0.0007887588452747032, 0.12807884581709147]
[0.002293949608189337, 0.014954135986161639]
[0.020852277460744795, -0.17394710537436767]
[0.03374691050153526, -0.29219406582582397]
[0.029555412582347347, -0.47800236545109104]
[0.020715079399134827, -0.6107769383223572]
[0.010759731785078662, -0.7432576716221407]
[-0.002471514183567519, -0.9302364360108384]
[-0.008928624669870919, -1.0227225496528791]
[-0.00829590867423835, -1.1072011548591727]
[-0.00942143313996503, -1.144647107690829]
[-0.012250726742283963, -1.1759063133954197]
[-0.014569779827768805, -1.1914088538029246]
[-0.01848915698033095, -1.1936349147486442]
[-0.016330732798868586, -1.189004556349906]
[-0.013411110181028892, -1.1779443000277954]
[-0.011986609058045892, -1.1754459566384088]
[0.012604262617124861, -1.1952981925756874]
[0.051720950414912606, -1.2145332993819948]
[0.09202179669277108, -1.2313771537842082]
[0.1532472463409948, -1.2585301944015386]
[0.17544335103786918, -1.2612160299156632]
[0.21210612644499274, -1.264111289363835]
[0.23237993308139118, -1.2638452375591998]
[0.24579749963111527, -1.2637797298975033]
[0.25343106217620975, -1.2632049407975572]
[0.24797038022291745, -1.2613541519554763]
[0.24247242599895846, -1.263212257029448]
[0.2441422221306129, -1.259288230315196]
[0.26564989831329494, -1.230093804228872]
[0.27614319258505954, -1.160477242850076]
[0.2792487797688059, -1.0466386223613389]
[0.26385266067337637, -0.86560599003964]
[0.25708304028880397, -0.7500539019797784]
[0.2597731031526285, -0.5643935265022737]
[0.2620432228137501, -0.44827425868198334]
[0.2658237342107122, -0.317981240352489]
[0.26091088989818306, -0.12919730516174316]
[0.26266350645778874, -0.041319345789954234]
[0.26990584990800637, 0.04865527034606348]
[0.2738893831401232, 0.09033474984171375]
[0.27707295031735285, 0.12909392163618186]
[0.2815170829259376, 0.16446001726326268]
[0.2891483376035024, 0.1716344073851061]
[0.29137175915215524, 0.17991470565771678]
[0.28972786141650475, 0.17334931035988527]
[0.2915051613470239, 0.17026246851314794]
[0.3151137795879352, 0.18370210217054742]
[0.36232192548959347, 0.20234509053058164]
[0.401254191954638, 0.2138156317365874]
[0.4470759916915459, 0.23017877792885924]
[0.49830026191374976, 0.2402632476689195]
[0.49830026191374976, 0.2402632476689195]
[0.5159084742977179, 0.2450649380476345]
[0.5213849440994345, 0.24299483921232706]
[0.5224433287456804, 0.23750996295967686]
[0.5213731948236868, 0.23607650469786723]
[0.5183999152958704, 0.23986549201860996]
[0.5189386556399408, 0.23803636862446012]
[0.5363798783643031, 0.1411254838869185]
[0.5329122763546382, -0.004712623132296674]
[0.5185115664005171, -0.12810305518810639]
[0.5048722118472075, -0.29636163829039436]
[0.5043178188114025, -0.4273051397526239]
[0.504810734646632, -0.5524714275548872]
[0.5087042189047565, -0.7502284835663193]
[0.5129754866745417, -0.8766437882029089]
